,Frequency,MCT Signal (mV)
0,0.12686055569981824,0.7341937200638637
1,0.5705472171730285,0.9391431612559872
2,0.7785117862604227,1.1440926024481106
3,0.7696207045788979,1.3490420436402342
4,0.6825531607951764,1.5539914848323575
5,0.5654511093799582,1.758940926024481
6,0.4075801956201855,1.9638903672166046
7,0.3128142762341674,2.1688398084087277
8,0.23160183502120626,2.3737892496008515
9,0.1641597276320726,2.5787386907929752
10,0.11178908797137836,2.783688131985098
11,0.06635782913528944,2.988637573177222
12,0.04152785712224822,3.1935870143693457
13,0.026456389393808264,3.3985364555614686
14,0.011168066014599366,3.6034858967535923
15,0.006505669523067605,3.808435337945716
16,0.002927551285380423,4.013384779137839
17,0.0014095617299979782,4.218334220329963
18,0.0005421391269223017,4.4232836615220865
19,0.000867422603075679,4.628233102714209
