,Frequency,MCT Signal (mV)
0,0.021952227720961923,0.8856082699720627
1,0.13907307272933103,1.0607360289089578
2,0.3641785754864784,1.2358637878458527
3,0.5952479782603025,1.4109915467827476
4,0.7253117552197598,1.5861193057196428
5,0.7886306085883147,1.7612470646565377
6,0.7390160361091465,1.9363748235934326
7,0.6342036656032803,2.1115025825303277
8,0.5193668674098119,2.2866303414672227
9,0.38308540745424235,2.4617581004041176
10,0.2721822454419847,2.636885859341013
11,0.1838657685992708,2.8120136182779074
12,0.14440251529742593,2.9871413772148028
13,0.09313835345194232,3.1622691361516977
14,0.0551977980266962,3.3373968950885926
15,0.03083463200111995,3.512524654025488
16,0.01192780003335504,3.6876524129623824
17,0.00507565958866172,3.862780171899278
18,0.002791612773763932,4.037907930836173
19,0.0006344574485827166,4.2130356897730685
