,Frequency,MCT Signal (mV)
0,0.05614158018376608,1.0137697359263413
1,0.41170492134761677,1.090955545786862
2,1.1392422194213423,1.1681413556473825
3,1.5921176329037252,1.2453271655079032
4,1.5025790101491034,1.3225129753684237
5,1.2690876176925137,1.3996987852289444
6,1.1749425063074292,1.476884595089465
7,1.028974397829641,1.5540704049499856
8,0.9898192444707067,1.631256214810506
9,0.8087266601856332,1.7084420246710268
10,0.78943698904557,1.7856278345315473
11,0.6382865808585098,1.862813644392068
12,0.5369438309883269,1.9399994542525885
13,0.3869450449588778,2.017185264113109
14,0.2853143895492933,2.0943710739736296
15,0.18569907291553395,2.1715568838341506
16,0.0794619288754843,2.2487426936946706
17,0.05470205248674644,2.3259285035551915
18,0.018425954521851327,2.403114313415712
19,0.007197638485098216,2.4803001232762325
