,Frequency,MCT Signal (mV)
0,0.006862210850922759,1.6553151908297452
1,0.04803547595645894,1.6844603168459629
2,0.15325604233727377,1.713605442862181
3,0.40258303658746847,1.7427505688783986
4,0.8829377961520615,1.7718956948946163
5,1.7430015561343672,1.801040820910834
6,2.853154778239196,1.830185946927052
7,4.037267383959556,1.8593310729432697
8,4.750937312455522,1.8884761989594874
9,5.012463792662874,1.917621324975705
10,4.2843069745927425,1.9467664509919231
11,3.440255039929276,1.9759115770081408
12,2.534443207607472,2.0050567030243585
13,1.7460514276236796,2.034201829040576
14,1.1238776438066658,2.0633469550567938
15,0.651910030837662,2.092492081073012
16,0.3583598999926329,2.1216372070892295
17,0.17917994999631373,2.1507823331054476
18,0.0823465302110731,2.1799274591216653
19,0.019824164680443523,2.209072585137883
