,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_Accuracy,split1_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Precision,split1_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Sensitivity,split1_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity
NAT,0,16.375203728675842,0.07647621631622314,0.36138296127319336,0.012496709823608398,0.6274140107975745,0.013914897745042832,5,1,54,0.7725328141571941,"{'colsample_bytree': 0.6274140107975745, 'learning_rate': 0.013914897745042832, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 54, 'subsample': 0.7725328141571941}",0.6402144393891299,0.47368606701940036,0.5569546584836781,0.08326418606832917,10,0.7796119929453262,0.659718548301767,0.7196652706235467,0.05994672232177961,0.5431826534362367,0.334855403348554,0.4390245394037198,0.10416362489805513,10,0.55900718076803,0.5370232604275157,0.5480152205977729,0.010991960170257165,0.5306525446548783,0.9355670103092784,0.7330990660259211,0.20245723254384315,1,0.922938144329897,0.971905574005924,0.9474218591679104,0.024483714838013537
NAT,1,169.78408586978912,5.633177876472473,2.615652561187744,0.11246395111083984,0.6484311271081804,0.056508319425452556,9,3,321,0.6796092149371102,"{'colsample_bytree': 0.6484311271081804, 'learning_rate': 0.056508319425452556, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 321, 'subsample': 0.6796092149371102}",0.7277184072232216,0.7213051146384479,0.7245119305856833,0.0032066462878988303,1,0.9990476190476191,0.9983423270906077,0.9986949730691134,0.00035264597850570567,0.7967042497831743,0.4942975006066489,0.6455088749501938,0.15120337437664016,1,0.9987101767057913,0.9957990704326064,0.9972546235691988,0.0014555531365924579,0.41226101786195135,0.7875,0.5998705824989843,0.18761949080643417,8,0.9978092783505155,1.0,0.9989046391752577,0.0010953608247422641
NAT,2,50.15127909183502,0.7892440557479858,0.9616886377334595,0.057981133460998535,0.563386668702384,0.031042765681564943,5,3,221,0.3649893084312463,"{'colsample_bytree': 0.563386668702384, 'learning_rate': 0.031042765681564943, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 221, 'subsample': 0.3649893084312463}",0.7187599195852291,0.6162962962962963,0.667530818475213,0.05123181157276292,8,0.9315696649029982,0.8785666419779212,0.9050681534404597,0.026501511462538485,0.6917766743369262,0.40314363817097415,0.5474677916445688,0.14431651788099226,8,0.8176855895196506,0.7710181664554289,0.7943518779875398,0.02333371153211089,0.5127008347545103,0.8362113402061856,0.6744475294541733,0.1617552524994468,4,0.9652061855670103,0.9828561170451485,0.9740311513060794,0.008824965739069102
NAT,3,161.70719802379608,2.076828122138977,2.6406447887420654,0.08547234535217285,0.6888042350297793,0.04896147852438736,9,2,321,0.6512414671943356,"{'colsample_bytree': 0.6888042350297793, 'learning_rate': 0.04896147852438736, 'max_depth': 9, 'min_child_weight': 2, 'n_estimators': 321, 'subsample': 0.6512414671943356}",0.722992275949635,0.7197178130511463,0.7213551311218102,0.0016372314469528743,3,0.9987654320987654,0.9984481359997178,0.9986067840492416,0.00015864804952381295,0.7911426040744022,0.4924488470282559,0.6418036270845031,0.14934687831404891,3,0.9976807112485504,0.9960661600357622,0.9968734356421562,0.0008072756063940978,0.40086168207521766,0.7815721649484536,0.5912068523388059,0.1903552411701989,9,0.9978092783505155,1.0,0.9989046391752577,0.0010953608247422641
NAT,4,185.74792194366455,2.0843262672424316,2.719120144844055,0.12795841693878174,0.7446534119591746,0.03188064333483159,7,1,438,0.838607286700948,"{'colsample_bytree': 0.7446534119591746, 'learning_rate': 0.03188064333483159, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 438, 'subsample': 0.838607286700948}",0.7296935068599443,0.698342151675485,0.7140186586247641,0.01567567757029015,4,0.9941798941798942,0.9898776143617959,0.992028754270845,0.002151139909049138,0.7799967788693831,0.46978944156240465,0.6249013163250232,0.15510366843640788,4,0.9812444557090356,0.9748862443122156,0.9780653500106256,0.003179105698410012,0.43470065523741136,0.7935567010309278,0.614119185090262,0.17942802264563276,7,0.9978092783505155,1.0,0.9989046391752577,0.0010953608247422641
NAT,5,185.81989991664886,1.6684600114822388,2.1568009853363037,0.10446667671203613,0.8898554760712822,0.030838893551993693,7,2,353,0.9744001505016227,"{'colsample_bytree': 0.8898554760712822, 'learning_rate': 0.030838893551993693, 'max_depth': 7, 'min_child_weight': 2, 'n_estimators': 353, 'subsample': 0.9744001505016227}",0.7313864494057066,0.686031746031746,0.7087102975151227,0.022677351655241353,5,0.9891710758377426,0.9791909145416711,0.9841809951897068,0.004990080648035744,0.7630204447097448,0.4579494361317904,0.6104930106553738,0.15253550407549024,5,0.9642456708608447,0.9498592990534663,0.9570524849571556,0.00719318590368917,0.45893546360290816,0.8006443298969073,0.6297808573110872,0.1708544329078736,6,0.9974226804123711,0.9998204829009963,0.9986215816566837,0.0011989012443126001
NAT,6,78.06575131416321,0.22292780876159668,1.1436289548873901,0.03298938274383545,0.6870923399067144,0.03962400458367201,3,1,488,0.5681751504976484,"{'colsample_bytree': 0.6870923399067144, 'learning_rate': 0.03962400458367201, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 488, 'subsample': 0.5681751504976484}",0.728776496314323,0.6334038800705467,0.6810927111440311,0.047686308055146905,7,0.9311111111111111,0.880577011251014,0.9058440611810625,0.02526704993004858,0.703791189323255,0.41692433899160725,0.5603653528260288,0.1434334249650761,7,0.8168722034268253,0.7756843227870601,0.7962782631069427,0.020593940319882598,0.5348711964814649,0.8514175257731958,0.6931359873288728,0.15827316442434816,2,0.9645618556701031,0.979265775065075,0.971913815367589,0.007351959697485921
NAT,7,36.67013990879059,0.11996209621429443,0.5903080701828003,0.010495305061340332,0.6972143757271946,0.052411031675254474,4,2,163,0.6834982431425817,"{'colsample_bytree': 0.6972143757271946, 'learning_rate': 0.052411031675254474, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 163, 'subsample': 0.6834982431425817}",0.7175254823122773,0.5967548500881834,0.6571433610214628,0.06038531602753234,9,0.9133333333333333,0.8524318414277149,0.8828825873805242,0.03045074595280922,0.6821353803210048,0.39161747343565523,0.5368841121306153,0.14525895323937202,9,0.7781390957725794,0.7338801855711692,0.7560096406718744,0.02212945510070513,0.5264338928282919,0.8548969072164948,0.6906567109843957,0.16423150696424488,3,0.9559278350515464,0.9797145678125841,0.9678212014320653,0.011893366380518855
NAT,8,187.41788744926453,3.2204647064208984,2.963544011116028,0.0794593095779419,0.7307326105838866,0.0633571764931876,8,2,464,0.45417717323030393,"{'colsample_bytree': 0.7307326105838866, 'learning_rate': 0.0633571764931876, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 464, 'subsample': 0.45417717323030393}",0.7190068070398195,0.7279365079365079,0.7234714212651888,0.004464850442095261,2,0.9992592592592593,0.9989771805452686,0.9991182199022639,0.00014103935699533166,0.7887554585152838,0.5019292340530334,0.6453499338780546,0.14341311203040588,2,0.9994836710984898,0.9974037600716205,0.9984437155850552,0.001039955513434665,0.3891033120904766,0.7878865979381443,0.5884844057500956,0.19939164264476755,10,0.9978092783505155,1.0,0.9989046391752577,0.0010953608247422641
NAT,9,125.35745477676392,2.171297550201416,1.650964617729187,0.08647215366363525,0.90612352897733,0.024545762900011113,8,2,237,0.4982436496262522,"{'colsample_bytree': 0.90612352897733, 'learning_rate': 0.024545762900011113, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 237, 'subsample': 0.4982436496262522}",0.7283885303142524,0.6711816578483245,0.6997866074105427,0.028603436192930914,6,0.9807760141093474,0.9627199943568582,0.9717480042331028,0.009028009876244636,0.7446657183499289,0.4440704669149241,0.5943760444670234,0.15029762550714754,6,0.9382821042400681,0.9146381578947368,0.9264601310674024,0.011821973172665645,0.46988600664213265,0.79909793814433,0.6344832635436598,0.164605965520718,5,0.9952319587628866,0.998294587559465,0.9967632731611757,0.0015313143982891853
