,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Precision,split1_test_Precision,split2_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Sensitivity,split1_test_Sensitivity,split2_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,split2_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity
Malignant,12,269.556148370107,1.6861051337730446,1.6384698549906414,0.031496111449665985,0.9298797697968492,0.028749694198623332,7,3,56,0.6336873597479906,"{'colsample_bytree': 0.9298797697968492, 'learning_rate': 0.028749694198623332, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 56, 'subsample': 0.6336873597479906}",0.8353818893966241,0.8614415675297411,0.7751682550943255,0.8240061704205465,0.03612428095449818,45,0.8946683216365536,0.876711498001017,0.9030106574007136,0.8914634923460948,0.010973138243559442,0.8478267613936028,0.8685891291406431,0.7721705844625205,0.829540160862521,0.041429075244524806,44,0.8865713311798984,0.8666231904366666,0.8995569151200744,0.8842504789122131,0.013544920863973117,0.965414915038683,0.9792289929587878,0.9779898136806138,0.9742091953253669,0.006241289727146928,16,0.9902759479288796,0.9896538565695857,0.9902506480281429,0.9900601508422028,0.00028747904064513964
Malignant,13,1265.3240784009297,10.475749523632294,6.597866137822469,0.16778769888610381,0.9310617402035062,0.023633902817534382,8,2,239,0.504222007032598,"{'colsample_bytree': 0.9310617402035062, 'learning_rate': 0.023633902817534382, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 239, 'subsample': 0.504222007032598}",0.8626410519444185,0.8903848845346396,0.8088379430406333,0.8539625669447088,0.03384869018116428,25,0.9607426832910259,0.9463143604887129,0.9580280310627084,0.9550283582808157,0.0062605991364382526,0.8836215377216186,0.8960758005970025,0.799983181263928,0.8599061363479329,0.04266153629493654,25,0.9572592338106246,0.9405560938028925,0.9560671436127273,0.9512941570754148,0.007608537831213026,0.9519317954334028,0.9800252528125035,0.9812906969247631,0.971077845470018,0.013553075785801299,21,0.9935152841067048,0.9918572589182403,0.9935891501573783,0.9929872310607744,0.0007995798190457853
Malignant,14,1163.0678182442982,7.393240411763711,9.761176506678263,0.3376948282732398,0.5975014553618898,0.023512958952970307,8,1,338,0.5100988540579309,"{'colsample_bytree': 0.5975014553618898, 'learning_rate': 0.023512958952970307, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 338, 'subsample': 0.5100988540579309}",0.8650657465261588,0.8918777700023326,0.8137292423153395,0.8568984928499008,0.03241904877091979,20,0.9710551366283411,0.9596284737286515,0.9709335136773862,0.9672057080114597,0.005358143805956931,0.8880541112188244,0.8988492772708745,0.8046716316858497,0.8638709463645334,0.042077370100206984,20,0.9688922386635969,0.9559418090416514,0.9699099668298847,0.9649146715117111,0.006358361336857534,0.9492822741135879,0.978273481134329,0.9807749339178647,0.969438493252529,0.014294302376777304,31,0.9944399453664197,0.992478889189788,0.9948042029253842,0.9939076791605306,0.0010211925961628463
Malignant,15,382.46996180216473,4.684177578035646,2.374232212702433,0.07159129531297226,0.8257526275946925,0.053061758565889565,8,3,81,0.5049803024111399,"{'colsample_bytree': 0.8257526275946925, 'learning_rate': 0.053061758565889565, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 81, 'subsample': 0.5049803024111399}",0.8566259442320246,0.8809983671565197,0.8009875943955418,0.8462122201695622,0.033480701553218264,31,0.9501875839928327,0.9337233332866827,0.9463865115085935,0.943432476262703,0.0070385903420222325,0.8768218809939208,0.8891120890499612,0.7935051514107663,0.8531589561551552,0.04246467849557159,31,0.9454340356713266,0.9268183152840389,0.9438993655318142,0.9387172388290598,0.008437104134198679,0.9528149692066744,0.9767378371307345,0.9801689123847592,0.9699028477777935,0.012168222735204393,28,0.992784016051636,0.990792486274896,0.9924782447694871,0.9920182490320064,0.0008756882138393918
Malignant,16,2085.9736477533975,16.01585496760283,11.642901023228964,0.2649558094450818,0.8121129808419598,0.021889369977955816,8,1,398,0.9840897482011635,"{'colsample_bytree': 0.8121129808419598, 'learning_rate': 0.021889369977955816, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 398, 'subsample': 0.9840897482011635}",0.8666977524946377,0.8953114065780265,0.8162122301150949,0.8594145564699223,0.032696616319364956,16,0.9765193370165746,0.9647553869909824,0.9764557729530561,0.9725768323202043,0.005530657909992783,0.8892967776785616,0.9015698143241629,0.8069814323607427,0.8659617713462289,0.04199116547975561,16,0.9748647336703645,0.9610661714374148,0.9755998004444646,0.9705102351840814,0.0066847007327140665,0.9499299348806538,0.9792858686626247,0.98069756946683,0.9699661616207971,0.014184617574374857,27,0.995249779410876,0.9937590782638667,0.9956952416219219,0.9949013664322215,0.0008279395469236067
Malignant,17,1588.011374314626,20.25106236422327,15.80255651473999,0.3089042352576947,0.5384272865464153,0.04191323509042848,9,3,445,0.5618251894449516,"{'colsample_bytree': 0.5384272865464153, 'learning_rate': 0.04191323509042848, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 445, 'subsample': 0.5618251894449516}",0.8721346638067705,0.9029811056682995,0.8228210848603086,0.8659861787555904,0.033008998841618974,11,0.9952217410780947,0.9918267952360292,0.9963200485063315,0.9944561949401519,0.0019125684135493347,0.8993561846650814,0.9120182852282995,0.8120485008630426,0.8744875106518645,0.04443766484941771,11,0.9952833598380801,0.9912703264457757,0.9961414457178123,0.9942317106672226,0.002123114885339507,0.9442069688298537,0.9758619512916472,0.9827090451937335,0.9675864922523497,0.016772354948726195,37,0.9985435074275077,0.998005859326916,0.999305684132568,0.9986183502956639,0.0005332836784379583
Malignant,18,1212.0479762554169,11.237606042945137,6.9474202791849775,0.33848049374415484,0.9429052940825505,0.02406436378818578,9,1,214,0.40376716011462854,"{'colsample_bytree': 0.9429052940825505, 'learning_rate': 0.02406436378818578, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 214, 'subsample': 0.40376716011462854}",0.8628275669122447,0.8903568929321204,0.810191451427718,0.8544664016869133,0.033253617974233436,24,0.9702758697924444,0.9581776365816225,0.9659289662088104,0.9647941575276257,0.005003842174637919,0.8845294426919033,0.8971299849824795,0.8014011061364235,0.8610327286683179,0.042464273481694924,24,0.967396030412353,0.9530192231645921,0.9640224040008746,0.9614792191926065,0.00613862027856269,0.9509308651570283,0.9785351093719785,0.9808909805944168,0.9701141617304212,0.01360360874785708,26,0.9950382555932941,0.9938144710603413,0.9948620625810035,0.9945715964115464,0.0005401790397470044
Malignant,19,490.6756289800008,5.495242597576333,3.0293545722961426,0.09365786571492947,0.790346686588602,0.044336201534855485,4,3,245,0.36969689429754904,"{'colsample_bytree': 0.790346686588602, 'learning_rate': 0.044336201534855485, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 245, 'subsample': 0.36969689429754904}",0.8584631166651123,0.8788803358992302,0.7982525739995706,0.8452076607761543,0.03422173703613712,32,0.9074725623413469,0.890450132721276,0.9182155266901425,0.9053794072509218,0.011431396801091887,0.8720394315708616,0.884240646537578,0.7901796829612416,0.848832281488002,0.04175765352189413,34,0.9018082294580829,0.8844279479364306,0.915674969620077,0.9006370490048635,0.012783396490893143,0.962518105062352,0.9807305115400803,0.982103023660628,0.9751140588612199,0.008927522690911422,13,0.9877074444296714,0.9840591841256555,0.9896836234030735,0.9871500839861335,0.0023297449494677973
Malignant,20,853.139727751414,7.917257609724254,5.739476998647054,0.0738340459434736,0.6387218980630089,0.07428558431827784,4,3,454,0.7177721981044368,"{'colsample_bytree': 0.6387218980630089, 'learning_rate': 0.07428558431827784, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 454, 'subsample': 0.7177721981044368}",0.8688799776182039,0.9039794728248193,0.8211035293898011,0.8646612799890525,0.033961219522148214,12,0.9568883455278483,0.93999318899603,0.9598656747743756,0.9522490697660846,0.008751041174165218,0.8957432787141597,0.9128723404255319,0.81307639514434,0.8739097762508592,0.043565966786683605,12,0.9559961004769327,0.9399114372916042,0.9608483603567199,0.9522519660417523,0.00894809454055897,0.9443482766335771,0.976100829247762,0.9776416736509573,0.9660248898548857,0.015346152766061784,46,0.9897199424655216,0.9837206725916443,0.9905746620996112,0.9880050923855924,0.0030495711328321893
Malignant,21,1086.9461053212483,15.004835548744481,5.454903523127238,0.13934068884062126,0.846586759834822,0.05507060480412289,4,1,426,0.8402609063294995,"{'colsample_bytree': 0.846586759834822, 'learning_rate': 0.05507060480412289, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 426, 'subsample': 0.8402609063294995}",0.8657185489135503,0.9009937018894332,0.8171550187157539,0.8612961615256862,0.034365521933663636,14,0.9445320665969837,0.9258860136499983,0.9486858981833446,0.9397013261434423,0.009914996173493706,0.8884739115106646,0.9078553037018277,0.8087917239321976,0.8683856086717558,0.042861623710363665,14,0.94242502808746,0.924209539353741,0.9484365820946807,0.938357049845294,0.010300444496133272,0.9496473192732069,0.9786261104981174,0.978840822641996,0.9690333648295859,0.013713272738502407,33,0.9885535396999988,0.9828159235825599,0.9901754304758378,0.9871816312527989,0.003157233495607117
